Adina / Edad;Kasu positiboak / Positivos;Emakumezkoak: Kasu positiboak / Mujeres: Positivos;Gizonezkoak: Kasu positiboak / Hombres: Positivos;Biztanleria 2019 / Poblaci�n 2019;Emakumezkoak: Biztanleria 2019 / Emakumezkoak: Poblaci�n 2019;Gizonezkoak: Biztanleria 2019 / Gizonezkoak: Poblaci�n 2019;100.000 biztanleko tasa  / Tasa por 100.000 habitantes;Emakumezkoak: 100.000 biztanleko tasa  / Mujeres: Tasa por 100.000 habitantes;Gizonezkoak: 100.000 biztanleko tasa  / Hombres: Tasa por 100.000 habitantes;Kasuen guztien gaineko % / % sobre el total de los casos;Hildakoak / Fallecidos(*);Emakumezkoak: Hildakoak / Mujeres: Fallecidos;Gizonezkoak: Hildakoak / Hombres: Fallecidos;Hilgarritasuna / Letalidad;Emakumezkoak: Hilgarritasuna / Letalidad;Gizonezkoak: Hilgarritasuna / Letalidad;
0 - 9 ;5797;2896;2901;195423;95358;100065;2966,385738;3036,976447;2899,115575;0,055087806;0;0;0;0;0;0;
10-19;10314;5056;5257;206343;99880;106463;4998,473416;5062,074489;4937,865737;0,098012012;0;0;0;0;0;0;
20 - 29 ;12909;6771;6134;194050;95535;98515;6652,409173;7087,454859;6226,462975;0,122671811;2;1;1;0,00015493;0,00014769;0,00016303;
30 - 39 ;13196;7263;5927;266369;132731;133638;4954,029936;5471,969623;4435,11576;0,125399118;9;4;5;0,00068202;0,00055074;0,0008436;
40 - 49 ;16993;9122;7869;358785;177153;181632;4736,262664;5149,221295;4332,386364;0,161481298;25;9;16;0,001471194;0,00098663;0,002033295;
50 - 59 ;16700;9004;7692;335098;170278;164820;4983,616733;5287,823442;4666,909356;0,158696974;51;23;28;0,003053892;0,00255442;0,003640146;
60 - 69 ;10729;5328;5392;272250;142347;129903;3940,863177;3742,966132;4150,789435;0,101955679;177;46;131;0,016497344;0,008633634;0,024295252;
70 - 79 ;7204;3560;3644;202172;111150;91022;3563,302534;3202,878992;4003,427743;0,068458264;467;138;329;0,064825097;0,038764045;0,090285401;
80 - 89 ;6487;4033;2453;127540;79598;47942;5086,247452;5066,710219;5116,599224;0,061644747;1102;539;563;0,169878218;0,133647409;0,22951488;
90+;3043;2335;708;29987;22390;7597;10147,73068;10428,76284;9319,468211;0,028917059;777;541;236;0,255340125;0,231691649;0,333333333;
No consta;1860;966;885;;;;;;;0,017675232;;;;;;;
GUZTIRA / TOTAL;105232;56334;48862;2188017;1126420;1061597;4809,469031;5001,154099;4602,688214;1;2624;1310;1314;0,024935381;0,023254163;0,026892063;
(*) Laborategiak proba azkarren lote bat errepasatu behar izan du aurrez emandako emaitza batzuk zuzendu eta egiaztatuz. Ondorioz, emaitza horiei zegozkien datu batzuk zuzendu dira. ;;;;;;;;;;;;;;;;;
(*) Se han corregido datos relativos a los test r�pidos debido a que el laboratorio ha revisado un lote de pruebas r�pidas corrigiendo y validando algunos resultados previos.;;;;;;;;;;;;;;;;;
(*) Hildakoen kopurua agian ez dator bat egunen batean ospitaleetatik eta egoitzetatik datozen datuekin, bi informazio-sistemen artean dekalaje bat dagoelako, eta dekalaje hori hurrengo egunetan zuzenduko da.;;;;;;;;;;;;;;;;;
(*) El n�mero de fallecidos puede que alg�n d�a no coincida con los datos que provienen de los hospitales y residencias  porque existe un decalaje entre ambos sistemas de informaci�n que se corregir� en d�as posteriores.;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
(*) 2020/11/22 (Ultima actualizaci�n / Azken eguneratzea);;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
