Udalerria / Municipio;Positiboak/Positivos;Biztanleak/Población;Tasa 100.000 biztanleko/Tasa por 100.000 habitantes;Hildakoak/Fallecidos;Hilkortasuna/Fatalidad
ABADIÑO;281;7695;3651,7;4;1,4
ABANTO Y CIERVANA-ABANTO ZIERB;384;9476;4052,3;8;2,1
ADUNA;10;480;2083,3;2;20
SALVATIERRA/AGURAIN;239;5296;4512,8;15;6,3
AIA;73;1998;3653,7;1;1,4
AIZARNAZABAL;22;763;2883,4;0;0
AJANGIZ;17;453;3752,8;0;0
ALBIZTUR;19;296;6418,9;0;0
ALEGIA;115;1751;6567,7;2;1,7
ALEGRIA-DULANTZI;99;3075;3219,5;3;3
ALKIZA;17;346;4913,3;0;0
ALONSOTEGI;85;2852;2980,4;1;1,2
ALTZAGA;3;188;1595,7;0;0
ALTZO;21;367;5722,1;0;0
AMEZKETA;57;907;6284,5;2;3,5
AMOREBIETA-ETXANO;787;19119;4116,3;21;2,7
AMURRIO;257;10419;2466,6;9;3,5
ANDOAIN;632;14945;4228,8;10;1,6
ANOETA;89;2036;4371,3;2;2,2
ANTZUOLA;140;2201;6360,7;1;0,7
ARAMA;13;202;6435,6;0;0
ARAMAIO;55;1506;3652,1;0;0
ARANTZAZU;9;377;2387,3;0;0
AREATZA;41;1215;3374,5;0;0
ARETXABALETA;325;7098;4578,8;9;2,8
ARMIÑON;8;223;3587,4;0;0
ARRAIA-MAEZTU;11;732;1502,7;0;0
ARRASATE/MONDRAGON;1579;22058;7158,4;50;3,2
ARRATZUA-UBARRUNDIA;40;1033;3872,2;0;0
ARRIETA;10;566;1766,8;0;0
ARRIGORRIAGA;460;11882;3871,4;12;2,6
ARTEA;18;722;2493,1;0;0
ARTZENTALES;26;692;3757,2;1;3,8
ARTZINIEGA;77;1922;4006,2;2;2,6
ASPARRENA;64;1609;3977,6;0;0
ASTEASU;65;1550;4193,5;0;0
ASTIGARRAGA;245;6180;3964,4;0;0
ATAUN;68;1745;3896,8;0;0
ATXONDO;50;1414;3536,1;1;2
AULESTI;55;665;8270,7;2;3,6
AYALA/AIARA;113;2901;3895,2;1;0,9
AZKOITIA;729;11989;6080,6;6;0,8
AZPEITIA;985;15055;6542,7;3;0,3
BAKIO;74;2639;2804,1;5;6,8
BALMASEDA;317;7595;4173,8;20;6,3
BAÑOS DE EBRO/MAÑUETA;7;323;2167,2;0;0
BARAKALDO;4820;98497;4893,6;133;2,8
BARRIKA;75;1528;4908,4;4;5,3
BARRUNDIA;36;945;3809,5;0;0
BASAURI;1824;40711;4480,4;83;4,6
BEASAIN;726;13969;5197,2;17;2,3
BEDIA;34;1054;3225,8;1;2,9
BELAUNTZA;10;258;3876;0;0
BERANGO;272;7230;3762,1;0;0
BERANTEVILLA;24;488;4918;0;0
BERASTEGI;71;1053;6742,6;0;0
BERGARA;926;15004;6171,7;26;2,8
BERMEO;473;16880;2802,1;18;3,8
BERNEDO;11;517;2127,7;0;0
BERRIATUA;101;1251;8073,5;0;0
BERRIZ;220;4701;4679,9;8;3,6
BIDANIA-GOIATZ;33;557;5924,6;1;3
BILBAO;18629;343430;5424,4;550;3
VILLABONA;335;5906;5672,2;2;0,6
BUSTURIA;79;1607;4916;6;7,6
CAMPEZO/KANPEZU;40;1066;3752,3;3;7,5
DEBA;376;5445;6905,4;6;1,6
DERIO;244;6472;3770,1;2;0,8
DIMA;32;1431;2236,2;1;3,1
DONOSTIA / SAN SEBASTIAN;8877;181652;4886,8;195;2,2
DURANGO;1367;29436;4644;23;1,7
EIBAR;2134;27246;7832,3;53;2,5
ELANTXOBE;17;362;4696,1;0;0
ELBURGO/BURGELU;25;627;3987,2;1;4
ELCIEGO;41;1038;3949,9;1;2,4
ELGETA;38;1139;3336,3;1;2,6
ELGOIBAR;659;11585;5688,4;8;1,2
ELORRIO;233;7441;3131,3;6;2,6
ELVILLAR/BILAR;17;355;4788,7;0;0
ERANDIO;1286;24297;5292,8;31;2,4
EREÑO;4;264;1515,2;0;0
ERMUA;1146;16039;7145,1;31;2,7
ERRENTERIA;1576;40141;3926,2;28;1,8
ERREZIL;65;628;10350,3;1;1,5
ERRIBERAGOITIA/RIBERA ALTA;32;836;3827,8;0;0
ERRIGOITI;19;484;3925,6;0;0
ESKORIATZA;172;4065;4231,2;4;2,3
ETXEBARRI;445;11338;3924,9;9;2
ETXEBARRIA;55;751;7323,6;1;1,8
EZKIO-ITSASO;13;644;2018,6;0;0
FORUA;30;916;3275,1;0;0
FRUIZ;21;543;3867,4;0;0
GALDAKAO;1212;29389;4124;43;3,5
GALDAMES;24;836;2870,8;0;0
GAMIZ-FIKA;60;1374;4366,8;1;1,7
GATIKA;61;1648;3701,5;1;1,6
GAUTEGIZ ARTEAGA;25;854;2927,4;1;4
GERNIKA-LUMO;612;16725;3659,2;5;0,8
GETARIA;135;2846;4743,5;3;2,2
GETXO;3201;77088;4152,4;75;2,3
GIZABURUAGA;5;210;2381;0;0
GORDEXOLA;71;1724;4118,3;2;2,8
GORLIZ;204;5825;3502,1;4;2
GÜEÑES;272;6564;4143,8;7;2,6
HERNANI;1108;20013;5536,4;16;1,4
HERNIALDE;25;305;8196,7;0;0
HONDARRIBIA;519;16937;3064,3;3;0,6
IBARRA;248;4258;5824,3;3;1,2
IBARRANGELU;20;625;3200;0;0
IDIAZABAL;57;2388;2386,9;0;0
IGORRE;125;4163;3002,6;0;0
IKAZTEGIETA;48;506;9486,2;1;2,1
IRUN;2398;59899;4003,4;31;1,3
IRUÑA OKA/IRUÑA DE OCA;98;3514;2788,8;0;0
IRURA;77;1811;4251,8;4;5,2
IRURAIZ-GAUNA;21;531;3954,8;1;4,8
ISPASTER;11;741;1484,5;0;0
ITSASONDO;26;718;3621,2;1;3,8
IURRETA;180;3689;4879,4;5;2,8
IZURTZA;9;289;3114,2;0;0
KARRANTZA HARANA/CARRANZA;152;2806;5417;4;2,6
KORTEZUBI;15;437;3432,5;2;13,3
LABASTIDA/BASTIDA;76;1492;5093,8;3;3,9
LAGUARDIA;48;1549;3098,8;0;0
LANCIEGO/LANTZIEGO;27;724;3729,3;0;0
LANESTOSA;6;276;2173,9;0;0
LANTARON;34;942;3609,3;0;0
LAPUEBLA DE LABARCA;62;882;7029,5;2;3,2
LARRABETZU;80;2053;3896,7;0;0
LASARTE-ORIA;817;18825;4340;10;1,2
LAUDIO/LLODIO;526;18345;2867,3;11;2,1
LAUKIZ;55;1165;4721;1;1,8
LAZKAO;207;5549;3730,4;2;1
LEABURU;24;363;6611,6;0;0
LEGAZPI;305;8430;3618;7;2,3
LEGORRETA;95;1489;6380,1;1;1,1
LEGUTIO;60;1795;3342,6;0;0
LEIOA;1253;31188;4017,6;27;2,2
LEKEITIO;296;7246;4085;4;1,4
LEMOA;122;3610;3379,5;2;1,6
LEMOIZ;41;1238;3311,8;1;2,4
LEZA;9;217;4147,5;0;0
LEZAMA;87;2383;3650,9;0;0
LEZO;289;6102;4736,2;4;1,4
LIZARTZA;19;647;2936,6;0;0
LOIU;160;2355;6794,1;18;11,2
MALLABIA;41;1174;3492,3;0;0
MAÑARIA;20;516;3876;0;0
MARKINA-XEMEIN;311;4964;6265,1;3;1
MARURI-JATABE;37;928;3987,1;0;0
MENDARO;89;2139;4160,8;1;1,1
MENDATA;11;408;2696,1;0;0
MENDEXA;12;485;2474,2;1;8,3
MEÑAKA;36;713;5049,1;0;0
MOREDA DE ALAVA/MOREDA ARABA;6;278;2158,3;0;0
MORGA;9;391;2301,8;0;0
MUNDAKA;72;1844;3904,6;6;8,3
MUNGIA;771;17349;4444,1;16;2,1
MUNITIBAR-ARBATZEGI GERRIKAITZ;36;457;7877,5;3;8,3
MURUETA;12;304;3947,4;0;0
MUSKIZ;303;7456;4063,8;7;2,3
MUTILOA;7;250;2800;0;0
MUTRIKU;225;5334;4218,2;2;0,9
MUXIKA;66;1482;4453,4;1;1,5
NABARNIZ;9;242;3719;0;0
OIARTZUN;294;10351;2840,3;4;1,4
OKONDO;31;1204;2574,8;1;3,2
OLABERRIA;28;914;3063,5;0;0
ONDARROA;347;8590;4039,6;8;2,3
OÑATI;504;11355;4438,6;10;2
ORDIZIA;729;9970;7311,9;31;4,3
OREXA;2;110;1818,2;0;0
ORIO;280;6061;4619,7;2;0,7
ORMAIZTEGI;50;1295;3861;1;2
OROZKO;54;2613;2066,6;3;5,6
ORTUELLA;330;8350;3952,1;3;0,9
OTXANDIO;54;1337;4038,9;2;3,7
OYON-OION;142;3497;4060,6;1;0,7
PASAIA;780;16711;4667,6;12;1,5
PEÑACERRADA/URIZAHARRA;10;287;3484,3;0;0
PLENTZIA;169;4363;3873,5;3;1,8
PORTUGALETE;1815;46191;3929,3;33;1,8
RIBERA BAJA/ERRIBERA BEITIA;58;1560;3717,9;1;1,7
SAMANIEGO;22;238;9243,7;3;13,6
SAN MILLAN/DONEMILIAGA;24;737;3256,4;0;0
SANTURTZI;2049;45690;4484,6;51;2,5
SEGURA;51;1523;3348,7;0;0
SESTAO;1273;27146;4689,5;50;3,9
SONDIKA;171;4489;3809,3;4;2,3
SOPELA;563;12947;4348,5;10;1,8
SOPUERTA;162;2468;6564;13;8
SORALUZE-PLACENCIA DE LAS ARMA;229;3937;5816,6;1;0,4
SUKARRIETA;4;336;1190,5;0;0
TOLOSA;1033;19270;5360,7;31;3
TRUCIOS-TURTZIOZ;24;512;4687,5;0;0
UBIDE;9;177;5084,7;0;0
UGAO-MIRABALLES;245;4114;5955,3;3;1,2
URDULIZ;155;4294;3609,7;3;1,9
URDUÑA/ORDUÑA;123;4274;2877,9;1;0,8
URKABUSTAIZ;75;1435;5226,5;2;2,7
