2020/11/29(Ultima actualización / Azken eguneratzea);
Osasun-eremuaren kodea / Código zona de salud;Osasun-eremuak/Zonas de salud;Positiboak/Positivos;TISak guztira/Total de TIS;Tasa 100.000 biztanleko/Tasa por 100.000 habitantes;Hildakoak/Fallecidos;Hilkortasuna/Mortalidad;
2501;ABADIÑO-ELORRIO-BERRIZ;919;24328;3777,5;21;2,3;
2101;ABANTO-MUSKIZ;690;17149;4023,6;18;2,6;
1101;ABETXUKO;186;3841;4842,5;12;6,5;
2502;AIALA;571;19096;2990,2;13;2,3;
2401;ALANGO;793;19660;4033,6;21;2,6;
3401;ALEGIA;428;6665;6421,6;7;1,6;
2402;ALGORTA;1274;33128;3845,7;27;2,1;
3501;ALZA-ROTETA;816;19664;4149,7;37;4,5;
3502;AMARA BERRI;1523;35132;4335,1;22;1,4;
3503;AMARA CENTRO;945;16578;5700,3;21;2,2;
2503;AMOREBIETA;783;19813;3952,0;24;3,1;
3402;ANDOAIN;633;15442;4099,2;10;1,6;
1102;ARANBIZKARRA I;727;15096;4815,8;23;3,2;
1103;ARANBIZKARRA II;562;12426;4522,8;15;2,7;
3201;ARRASATE;1653;25129;6578,1;52;3,1;
2504;ARRATIA;408;13737;2970,1;4;1,0;
2505;ARRIGORRIAGA;612;15914;3845,7;11;1,8;
2403;ASTRABUDUA;465;10532;4415,1;13;2,8;
3301;AZKOITIA;737;11946;6169,4;6;0,8;
3302;AZPEITIA;1052;16666;6312,3;5;0,5;
2102;BALMASEDA;523;11715;4464,4;26;5,0;
2507;BASAURI-ARIZ;1239;26715;4637,8;60;4,8;
2506;BASAURI-KAREAGA;615;15332;4011,2;25;4,1;
2301;BASURTO;1029;21071;4883,5;26;2,5;
3303;BEASAIN;990;22634;4374,0;19;1,9;
2302;BEGOÑA;515;11870;4338,7;9;1,7;
3504;BERAUN-ERRENTERIA;588;15271;3850,4;6;1,0;
3202;BERGARA;1094;18193;6013,3;28;2,6;
2508;BERMEO;559;19139;2920,7;27;4,8;
3505;BIDEBIETA;303;7241;4184,5;3;1,0;
2304;BOLUETA-SAGARMINAGA;462;9615;4805,0;5;1,1;
2305;BOMBERO ETXANIZ;2685;38328;7005,3;62;2,3;
2306;CASCO VIEJO (BILBAO);835;13102;6373,1;49;5,9;
1105;CASCO VIEJO (VITORIA-GASTEIZ);1013;18232;5556,2;37;3,7;
3101;DEBA;598;10708;5584,6;9;1,5;
2307;DEUSTO;1246;25904;4810,1;23;1,8;
3602;DUMBOA;963;30190;3189,8;10;1,0;
2509;DURANGO;1576;35097;4490,4;27;1,7;
3506;EGIA;688;14940;4605,1;13;1,9;
3102;EIBAR;1458;19576;7447,9;31;2,1;
3103;ELGOIBAR;969;18203;5323,3;11;1,1;
2404;ERANDIO;816;14199;5746,9;19;2,3;
3104;ERMUA;1200;17250;6956,5;32;2,7;
2510;ETXEBARRI;429;10766;3984,8;9;2,1;
2511;GALDAKAO;1261;31686;3979,7;41;3,3;
1108;GAZALBIDE-TXAGORRITXU;816;15651;5213,7;43;5,3;
2322;GAZTELEKU;999;21093;4736,2;23;2,3;
2512;GERNIKA;655;19002;3447,0;5;0,8;
2513;GERNIKALDEA;325;7485;4342,0;10;3,1;
2405;GORLIZ-PLENTZIA;480;12094;3968,9;12;2,5;
3507;GROS;1501;29802;5036,6;48;3,2;
3508;HERNANI-URNIETA-ASTIGARRAGA;1750;34494;5073,3;19;1,1;
3601;HONDARRIBIA;523;17896;2922,4;3;0,6;
3403;IBARRA;431;7842;5496,0;10;2,3;
2308;INDAUTXU;973;19894;4890,9;37;3,8;
3509;INTXAURRONDO;499;11521;4331,2;14;2,8;
3603;IRÚN-CENTRO;1400;38453;3640,8;16;1,1;
3510;IZTIETA-ERRENTERIA;988;26100;3785,4;23;2,3;
2309;JAVIER SÁENZ DE BURUAGA;600;15899;3773,8;10;1,7;
2317;KARMELO;552;12046;4582,4;16;2,9;
2201;KUETO;487;10273;4740,6;22;4,5;
1106;LA HABANA;608;12036;5051,5;22;3,6;
2319;LA MERCED/MIRIBILLA;1223;19466;6282,7;36;2,9;
2202;LA PAZ;907;22077;4108,3;12;1,3;
2311;LA PEÑA;460;10234;4494,8;7;1,5;
1109;LAKUA-ARRIAGA;698;15491;4505,8;11;1,6;
1113;LAKUABIZKARRA;1488;29226;5091,4;19;1,3;
2406;LAS ARENAS;1373;34417;3989,3;30;2,2;
3511;LASARTE-USURBIL;1055;26512;3979,3;16;1,5;
3304;LAZKAO;306;8517;3592,8;10;3,3;
3305;LEGAZPI;303;8739;3467,2;7;2,3;
2407;LEIOA;995;25063;3970,0;21;2,1;
2514;LEKEITIO;389;10065;3864,9;7;1,8;
3512;LEZO-SAN JUAN;410;8541;4800,4;12;2,9;
1116;LLANADA ALAVESA;488;12020;4059,9;22;4,5;
2515;LLODIO;617;23072;2674,2;16;2,6;
3513;LOIOLA;300;7127;4209,3;5;1,7;
2203;LUTXANA;335;7325;4573,4;10;3,0;
2516;MARKINA-XEMEIN;399;6488;6149,8;4;1,0;
2204;MARKONZAGA;789;17831;4424,9;27;3,4;
2312;MINA DEL MORRO;676;11067;6108,2;29;4,3;
2310;MIRIBILLA/LA MERCED;1223;19466;6282,7;36;2,9;
1117;MONTAÑA ALAVESA;63;2186;2882,0;2;3,2;
2408;MUNGIA;1127;26968;4179,0;26;2,3;
1118;NORTE-LEGUTIO;174;4253;4091,2;8;4,6;
1119;NORTE-ZUIA;272;5480;4963,5;19;7,0;
3514;OIARTZUN;296;10535;2809,7;5;1,7;
1107;OLAGUIBEL;1870;34045;5492,7;71;3,8;
1110;OLARIZU;726;16235;4471,8;21;2,9;
3515;ONDARRETA;1570;36720;4275,6;24;1,5;
2517;ONDARROA;431;9640;4471,0;8;1,9;
3203;OÑATI;502;11830;4243,4;10;2,0;
3306;ORDIZIA;862;14142;6095,3;35;4,1;
2103;ORTUELLA;335;8489;3946,3;3;0,9;
2313;OTXARKOAGA;457;11293;4046,8;13;2,8;
3516;PARTE VIEJA;651;13799;4717,7;10;1,5;
3517;PASAIA ANTXO;357;6787;5260,1;4;1,1;
3518;PASAIA SAN PEDRO;412;10612;3882,4;5;1,2;
2105;PORTUGALETE-BUENAVISTA;568;13261;4283,2;7;1,2;
2104;PORTUGALETE-CASTAÑOS;629;16767;3751,4;14;2,2;
2106;PORTUGALETE-REPELEGA;741;20149;3677,6;10;1,3;
2314;REKALDE;1707;28171;6059,4;42;2,5;
1201;RIOJA ALAVESA;475;10885;4363,8;12;2,5;
2205;RONTEGI;595;11371;5232,6;13;2,2;
1111;SALBURUA;780;16341;4773,3;15;1,9;
2315;SAN ADRIÁN;602;10045;5993,0;21;3,5;
2316;SAN IGNACIO;1190;24872;4784,5;40;3,4;
1104;SAN MARTÍN;1684;32825;5130,2;79;4,7;
2206;SAN VICENTE;1047;20040;5224,6;57;5,4;
1112;SANSOMENDI;476;9295;5121,0;12;2,5;
2107;SANTURTZI-CENTRO-MAMARIGA;741;18352;4037,7;15;2,0;
2108;SANTURTZI-KABIEZES;1233;26023;4738,1;35;2,8;
2318;SANTUTXU-SOLOKOETXE;819;16372;5002,4;13;1,6;
2109;SODUPE-GÜEÑES;334;8207;4069,7;7;2,1;
2409;SOPELANA;985;25427;3873,8;13;1,3;
3404;TOLOSA;1031;20760;4966,3;32;3,1;
3105;TORREKUA;668;9756;6847,1;24;3,6;
2110;TRAPAGARAN;502;12011;4179,5;12;2,4;
2410;TXORIERRI;772;18956;4072,6;25;3,2;
2320;TXURDINAGA;823;14726;5588,8;37;4,5;
2207;URBAN;500;9598;5209,4;9;1,8;
3204;VALLE DE LENIZ;475;11415;4161,2;12;2,5;
1120;VALLES ALAVESES I;143;4622;3093,9;0;0,0;
1121;VALLES ALAVESES II;126;2384;5285,2;2;1,6;
3405;VILLABONA;764;15946;4791,2;11;1,4;
1114;ZABALGANA;1063;23794;4467,5;8;0,8;
2208;ZABALLA;653;13124;4975,6;12;1,8;
2111;ZALLA;487;11710;4158,8;17;3,5;
1115;ZARAMAGA;783;14371;5448,5;29;3,7;
3519;ZARAUTZ-ORIO-AIA;1356;32323;4195,2;31;2,3;
2321;ZORROZA- ALONSOTEGI;683;14648;4662,8;28;4,1;
2209;ZUAZO;740;18056;4098,4;13;1,8;
3520;ZUMAIA-ZESTOA-GETARIA;789;17564;4492,1;10;1,3;
3307;ZUMARRAGA;736;18588;3959,5;13;1,8;
