Fecha;Casos;Euskadi: 14 eguneko 100.000 biztanleko intzidentzia metatua (PCR testak) / Euskadi: Incidencia acumulada 14 días x 100.000 habitantes (test PCRs) ;Araba: 14 eguneko 100.000 biztanleko intzidentzia metatua (PCR testak) /Álava: Incidencia acumulada 14 días x 100.000 habitantes (test PCRs) ;Bizkaia: 14 eguneko 100.000 biztanleko intzidentzia metatua (PCR testak) /Bizkaia: Incidencia acumulada 14 días x 100.000 habitantes (test PCRs) ;Gipuzkoa: 14 eguneko 100.000 biztanleko intzidentzia metatua (PCR testak) /Gipuzkoa: Incidencia acumulada 14 días x 100.000 habitantes (test PCRs) 
01/03/2020;1;0,05;0;0;0
02/03/2020;3;0,18;0;0;0
03/03/2020;4;0,37;0;0;0
04/03/2020;4;0,55;0;0;0
05/03/2020;19;1,42;0;0;0
06/03/2020;26;2,61;0;0;0
07/03/2020;34;4,16;0;0;0
08/03/2020;47;6,31;0;0;0
09/03/2020;47;8,46;0;0;0
10/03/2020;74;11,84;59,76;4,46;1,39
11/03/2020;73;15,17;76,53;5,51;2,23
12/03/2020;84;19,01;93;7,26;3,63
13/03/2020;103;23,72;108,55;9,89;6,69
14/03/2020;102;28,38;123,79;12,95;9,06
15/03/2020;100;32,91;134,77;16,36;12,27
16/03/2020;104;37,52;147,58;19,78;15,06
17/03/2020;198;46,39;170,14;28,35;17,71
18/03/2020;231;56,76;194,23;36,58;24,96
19/03/2020;268;68,14;212,52;49,18;31,09
20/03/2020;334;82,22;242,4;61,69;40,16
21/03/2020;320;95,29;260,39;77,7;45,87
22/03/2020;311;107,36;274,72;91,7;53,4
23/03/2020;360;121,66;293,93;106,4;64,56
24/03/2020;579;144,74;317,41;134,14;79,34
25/03/2020;723;174,45;371,38;164,41;95,79
26/03/2020;631;199,45;406,14;191,8;110,57
27/03/2020;501;217,64;439,98;209,48;120,89
28/03/2020;576;239,3;468,64;235,03;132,46
29/03/2020;245;245,93;486,02;240,01;136,36
30/03/2020;325;256,03;492,12;254,36;140,97
31/03/2020;580;273,49;514,08;274,05;152,68
01/04/2020;482;284,96;517,43;293,04;155,33
02/04/2020;489;295,06;521,7;308;159,51
03/04/2020;418;298,9;520,17;314,39;161,46
04/04/2020;295;297,76;517,13;312,38;162,44
05/04/2020;195;292,46;510,72;306,78;158,53
06/04/2020;237;286,84;492,12;305,9;151,14
07/04/2020;416;279,39;470,17;297,76;151,7
08/04/2020;310;260,51;414,37;281,84;146,26
09/04/2020;278;244,38;379,92;268,71;135,39
10/04/2020;283;234,41;338,75;265,65;129,53
11/04/2020;151;214,99;301,86;244,04;122,14
12/04/2020;158;211,01;275,03;243,51;123,68
13/04/2020;175;204,16;259,48;236,16;122
14/04/2020;193;186,47;217,1;220,85;112,24
15/04/2020;189;173,08;200,33;205,19;104,71
16/04/2020;208;160,24;179,9;191,19;97,88
17/04/2020;125;146,85;151,23;179,64;89,1
18/04/2020;147;140,08;132,94;173,34;87,14
19/04/2020;57;133,77;116,48;168,09;83,94
20/04/2020;63;125,82;109,46;156,54;81,85
21/04/2020;129;112,7;93;144,9;67,62
22/04/2020;109;103,52;83,54;135,98;58
23/04/2020;148;97,58;71,04;129,59;55,77
24/04/2020;141;91,09;67,08;122,41;49,36
25/04/2020;62;87,02;64,03;119,18;43,5
26/04/2020;47;81,95;62,51;115,06;35
27/04/2020;59;76,64;59,76;109,2;29,28
28/04/2020;55;70,34;59,76;99,75;25,24
29/04/2020;87;65,68;50,31;94,5;23,84
30/04/2020;123;61,79;44,52;90,74;20,78
01/05/2020;47;58,23;39,94;86,54;18,68
02/05/2020;45;53,56;36,59;81,81;13,8
03/05/2020;11;51,46;32,93;79,19;13,25
04/05/2020;31;50;32,02;77,7;11,57
05/05/2020;32;45,57;30,19;70,61;10,74
06/05/2020;30;41,96;26,22;65,71;9,48
07/05/2020;49;37,43;23,78;59,59;6,83
08/05/2020;54;33,45;22,87;52,59;6,55
09/05/2020;32;32,08;21,34;50,66;6,27
10/05/2020;10;30,39;21,04;47,69;6,27
11/05/2020;27;28,93;21,34;44,98;6,13
12/05/2020;29;27,74;20,43;42,96;6
13/05/2020;41;25,64;19,82;39,2;5,3
14/05/2020;29;21,34;21,04;30,63;5,16
15/05/2020;15;19,88;20,12;28;5,02
16/05/2020;16;18,56;21,95;24,68;5,44
17/05/2020;6;18,33;21,95;24,33;5,3
18/05/2020;16;17,64;20,73;23,28;5,16
19/05/2020;24;17,28;23,78;22,05;4,74
20/05/2020;9;16,32;22,87;21,09;3,76
21/05/2020;15;14,76;22,56;18,38;3,35
22/05/2020;11;12,8;19,82;16,1;2,51
23/05/2020;9;11,75;17,99;14,88;2,09
24/05/2020;3;11,43;17,99;14,35;1,95
25/05/2020;5;10,42;16,77;12,86;1,95
26/05/2020;12;9,64;15,55;12,16;1,39
27/05/2020;4;7,95;14,33;9,8;1,12
28/05/2020;8;6,99;12,2;8,93;0,84
29/05/2020;7;6,63;11,89;8,49;0,84
30/05/2020;4;6,08;10,37;8,31;0,14
31/05/2020;0;5,8;9,76;7,96;0,14
01/06/2020;4;5,26;10,37;7;0
02/06/2020;6;4,43;7,32;6,3;0
03/06/2020;5;4,25;7,62;5,78;0
04/06/2020;4;3,75;6,71;5,16;0
05/06/2020;5;3,47;6,4;4,64;0
06/06/2020;7;3,38;7,01;4,29;0
07/06/2020;8;3,61;7,32;4,64;0
08/06/2020;16;4,11;8,84;4,99;0,14
09/06/2020;19;4,43;9,15;5,34;0,28
10/06/2020;13;4,84;9,45;6,04;0,28
11/06/2020;8;4,84;8,84;6,21;0,28
12/06/2020;21;5,48;9,45;6,39;1,53
13/06/2020;9;5,71;9,45;6,65;1,81
14/06/2020;8;6,08;10,37;6,91;1,95
15/06/2020;13;6,49;11,28;7,35;2,23
16/06/2020;9;6,63;10,37;7,7;2,37
17/06/2020;10;6,86;10,06;8,05;2,51
18/06/2020;14;7,31;10,06;8,84;2,65
19/06/2020;16;7,82;10,67;9,36;3,21
20/06/2020;10;7,95;10,06;9,63;3,49
21/06/2020;7;7,91;10,67;9,28;3,63
22/06/2020;8;7,54;9,45;8,75;4,04
23/06/2020;7;6,99;9,76;7,7;4,04
24/06/2020;16;7,13;10,67;6,74;5,3
25/06/2020;9;7,18;11,59;6,39;5,58
26/06/2020;6;6,49;11,89;5,6;4,74
27/06/2020;3;6,22;11,28;5,34;4,6
28/06/2020;4;6,03;10,67;5,08;4,88
29/06/2020;5;5,67;8,84;4,73;5,02
30/06/2020;15;5,94;10,37;4,55;5,58
01/07/2020;6;5,76;10,06;4,46;5,58
02/07/2020;10;5,58;10,37;3,85;5,86
03/07/2020;15;5,53;10,67;3,5;6,13
04/07/2020;13;5,67;10,98;3,59;6,27
05/07/2020;9;5,76;10,67;3,59;6,69
06/07/2020;19;6,08;10,37;3,68;7,67
07/07/2020;30;7,13;11,28;3,85;10,18
08/07/2020;30;7,77;12,81;4,2;11,15
09/07/2020;31;8,78;13,42;4,55;13,39
10/07/2020;31;9,92;13,11;5,6;15,34
11/07/2020;28;11,06;13,72;6,13;17,71
12/07/2020;27;12,11;14,33;7,53;18,4
13/07/2020;27;13,12;14,64;8,4;19,94
14/07/2020;60;15,17;15,25;8,84;24,96
