Fecha;PCR totales;Test rápidos totales;Personas únicas totales;Personas únicas con PCR;Personas con PCR por millón de habitantes;Casos positivos PCR;Casos positivos detectados por serología;Casos positivos totales;Casos positivos PCR Álava;Casos positivos PCR Bizkaia;Casos positivos PCR Gipuzkoa;Otros casos positivos PCR ;Recuperados o altas Hospitalarias;No recuperados;Fallecidos;Nuevos ingresos planta con PCR positivo;Ingresados en planta con PCR positivo;Hospitalizados en UCI;R0 en Euskadi;Negativizados;Altas hospitalarias;Nuevos ingresos en UCI en los últimos 14 días;Tasa de positivos por 100.000 habitantes en Álava ;Tasa de positivos por 100.000 habitantes en Bizkaia ;Tasa de positivos por 100.000 habitantes en Gipuzkoa
24/02/2020;8;;;;;;;;;;;;0;0;0;;;;;;;;;;
25/02/2020;15;;;;;;;;;;;;0;0;0;;;;;;;;;;
26/02/2020;19;;;;;;;;;;;;0;0;0;;;;;;;;;;
27/02/2020;30;;;;;;;;;;;;0;0;0;;;;;;;;;;
28/02/2020;60;;;;;;;;;;;;0;0;0;;;;;;;;;;
29/02/2020;79;;;;;;;;;;;;0;0;0;;;;;;;;;;
01/03/2020;112;;;;;;;;;;;;0;1;0;;;;;;;;;;
02/03/2020;169;;;;;;;;;;;;0;4;0;;;;;;;;;;
03/03/2020;276;;;;;;;;;;;;0;8;0;;;;;;;;;;
04/03/2020;361;;;;;;;;;;;;0;12;0;;;;;;;;;;
05/03/2020;470;;;;;;;;;;;;0;30;1;;;;;;;;;;
06/03/2020;634;;;;;;;;;;;;0;55;1;;;;;;;;;;
07/03/2020;801;;;;;;;;;;;;0;89;1;;;;;;;;;;
08/03/2020;940;;;;;;;;;;;;0;134;3;;;;5,17;;;;;;
09/03/2020;1114;;;;;;;;;;;;0;179;5;;;;3,94;;;;;;
10/03/2020;1363;;;;;;;;;;;;0;253;6;;;;3,44;;;;;;
11/03/2020;1657;;;;;;;;;;;;0;325;7;;;;2,98;;;;;;
12/03/2020;1974;;;;;;;;;;;;0;404;12;;;;2,54;;;;;;
13/03/2020;2334;;;;;;;;;;;;0;503;16;;;;2,27;;;;;;
14/03/2020;2694;;;;;;;;;;;;0;600;21;;;;2,02;;;;;;
15/03/2020;3007;;;;;;;;;;;;0;696;25;;;;1,78;;;;;;
16/03/2020;3364;;;;;;;;;;;;0;789;36;;;;1,63;;;;;;
17/03/2020;3899;;;;;;;;;;;;0;979;41;;;;1,66;;;;;;
18/03/2020;4578;;;;;;;;;;;;0;1196;52;;;;1,75;;;;;;
19/03/2020;5323;;;;;;;;;;;;0;1445;71;;;;1,83;;;;;;
20/03/2020;6083;;;;;;;;;;;;165;1598;85;;;;1,9;;;;;;
21/03/2020;7050;;;;;;;;;;;;216;1854;97;;;;1,88;;;;;;
22/03/2020;7946;;;;;;;;;;;;283;2074;120;;;;1,79;;;;;;
23/03/2020;8674;;;;;;;;;;;;344;2357;133;;;;1,73;;;;;;
24/03/2020;9952;;;;;;;;;;;;466;2791;155;;;;1,76;;;;;;
25/03/2020;11664;;;;;;;;;;;;621;3332;180;;;;1,83;;;;;;
26/03/2020;13332;;;;;;;;;;;;814;3743;203;;;;1,77;;;;;;
27/03/2020;14872;;;;;;;;;;;;1023;3993;241;;;;1,58;;;;;;
28/03/2020;16559;;;;;;;;;;;;1503;4064;265;;;;1,47;;;;;;
29/03/2020;17617;;;;;;;;;;;;1646;4132;297;;;;1,28;;;;;;
30/03/2020;18545;;;;;;;;;;;;1796;4277;325;;;;1,15;;;;;;
31/03/2020;20287;;;;;;;;;;;;2165;4435;369;;;;1,08;;;;;;
01/04/2020;21865;;;;;;;;;;;;2490;4547;412;;;;0,97;;;;;;
02/04/2020;23609;;;;;;;;;;;;2809;4685;444;;;;0,91;;;;;;
03/04/2020;25119;;;;;;;;;;;;3098;4779;477;;;;0,9;;;;;;
04/04/2020;26757;;;;;;;;;;;;3405;4729;515;;;;0,83;;;;;;
05/04/2020;27583;;;;;;;;;;;;3568;4729;548;;;;0,84;;;;;;
06/04/2020;28480;26;;;;;;;;;;;3728;4783;586;;;;0,85;;;;;;
07/04/2020;30403;188;;;;;;;;;;;4151;4747;635;;;;0,84;;;;;;
08/04/2020;32377;515;;;;;;;;;;;4514;4694;689;;;;0,81;;;;;;
09/04/2020;34187;900;;;;;;;;;;;4680;4842;729;;;;0,77;;;;;;
10/04/2020;35784;1248;;;;;;;;;;;4741;5072;765;;;;0,76;;;;;;
11/04/2020;36907;1845;;;;;;;;;;;4867;5094;804;;;;0,75;;;;;;
12/04/2020;38338;2488;;;;;;;;;;;5026;5157;831;;;;0,79;;;;;;
13/04/2020;39620;3237;;;;;;;;;;;5193;5190;859;;;;0,81;;;;;;
14/04/2020;41366;4281;;;;;;;;;;;5428;5206;902;;;;0,75;;;;;;
15/04/2020;44110;5641;;;;;;;;;;;5813;5059;956;;;;0,74;;;;;;
16/04/2020;47188;7468;;;;;;;;;;;6144;4997;992;;;;0,75;;;;;;
17/04/2020;50016;9651;;;;;;;;;;;6556;4834;1020;;;;0,71;;;;;;
18/04/2020;53526;10786;;;;;;;;;;;6972;4537;1062;;;;0,76;;;;;;
19/04/2020;55824;11628;;;;;;;;;;;7124;4458;1081;;;;0,75;;;;;;
20/04/2020;57757;13251;;;;;;;;;;;7277;4460;1103;;;;0,73;;;;;;
21/04/2020;61661;15767;;;;;;;;;;;7651;4347;1124;;;;0,73;;;;;;
22/04/2020;66357;18998;;;;;;;;;;;8136;4176;1167;;;;0,71;;;;;;
23/04/2020;70884;23462;;;;;;;;;;;8459;4202;1193;;;;0,71;;;;;;
24/04/2020;75829;28159;;;;;;;;;;;8941;4054;1212;;;;0,8;;;;;;
25/04/2020;80417;30799;63428;;;12455;;14315;;;;;9602;3494;1230;;;115;0,77;;;;;;
26/04/2020;83386;31677;65743;;;12513;;14412;;;;;9840;3331;1241;;;113;0,81;;;;;;
27/04/2020;85668;35499;67608;;;12564;;14804;;;;;9974;3575;1255;;;114;0,85;;;;;;
28/04/2020;90749;40924;70985;;;12619;;15138;;;;;10474;3390;1274;;;104;0,8;;;;;;
29/04/2020;95743;45395;74253;;;12701;;15519;;;;;10936;3287;1296;;;97;0,8;;;;;;
30/04/2020;100926;51277;77927;;;12824;;15969;;;;;11380;3277;1312;;;95;0,81;;;;;;
01/05/2020;105374;53184;80986;;;12887;;16119;;;;;11805;2993;1321;;;91;0,71;;;;;;
02/05/2020;108174;53898;82982;;;12938;;16197;;;;;12024;2844;1329;;;90;0,72;;;;;;
03/05/2020;109326;54467;83740;;;12952;;16246;;;;;12155;2750;1341;;;87;0,71;;;;;;
04/05/2020;110956;57435;85084;;;12965;;16426;;;;;12251;2822;1353;;;85;0,72;;;;;;
05/05/2020;115593;61416;88484;;;13008;;16679;;;;;12749;2566;1364;;;80;0,74;;;;;;
06/05/2020;119596;65430;91521;;;13041;;16959;;;;;13070;2506;1383;;;78;0,69;;;;;;
