Código municipio;Municipio;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004
48001;Abadiño;53,71;53,11;52,59;51,82;51;50,31;52,64;53,2;54,05;52,21;48,74;46,21;46,16;52,17;51,61;63,11
20001;Abaltzisketa;42,7;42,7;41,62;41,62;41,62;41,62;58,21;54,48;53,79;53,79;53,79;53,98;49,83;46,37;42,56;53,67
48002;Abanto y Ciérvana-Abanto Zierbena;35,2;35,13;35,12;35,12;35,11;35,11;33,89;43,17;43,14;37,22;35,14;35,14;34,62;34,13;33,68;38,37
20002;Aduna;31,59;31,59;31,59;30;29,84;29,84;29,38;25,41;25,41;25,41;25,41;25,3;26,14;23,1;26,25;26,08
20016;Aia;31,68;28,04;28,04;28,01;27,93;27,93;27,25;25,14;25,14;25,12;25;31,17;37,2;34,47;30,5;30,5
20003;Aizarnazabal;40,62;37;36,75;36,75;36,75;36,75;38,18;31,96;31,74;31,74;31,52;31,59;31,59;31,59;26,8;26,8
48911;Ajangiz;8,22;8,22;8,22;6,09;6,09;6,09;6,2;5,48;5,48;5,37;5,37;5,37;4,1;3,78;3,46;3,35
20004;Albiztur;21,55;21,55;26,67;26,67;26,67;26,67;27,06;47,18;46,41;46,41;45,9;46,37;41,45;41,19;41,19;49,69
20005;Alegia;82,58;82,58;82,58;82,04;81,18;81,18;84,83;84,83;79,69;79,49;79,49;78,24;78,24;74,67;74,57;78,66
1001;Alegría-Dulantzi;13,11;13,11;13,11;13,11;13,11;13,11;13,34;12,69;12,69;12,68;12,68;11,96;24,47;23,43;23,22;20,33
20006;Alkiza;45,79;45,79;45,53;45,53;45;45;44,74;36,3;35,22;35;30;28,94;28,94;26,78;23,33;23,33
48912;Alonsotegi;40,65;40,65;40,65;40,65;40,65;40,65;39,81;29,6;29,6;29,6;29,6;29,36;29,22;28,22;29,14;28,85
20906;Altzaga;18,68;18,68;18,68;18,68;18,68;18,68;18,68;18,68;18,68;18,68;17,11;16,97;16,97;16,71;16,45;16,19
20007;Altzo;33,21;30;30;30;30;28,49;27,96;27,96;28,49;28,49;28,49;28,38;28,2;28,2;28,2;28,2
20008;Amezketa;34,57;34,57;34,57;33,72;35,79;35,73;36,4;33,11;33,11;33,11;32,66;9,79;22,96;35,66;35,66;35,66
48003;Amorebieta-Etxano;40,41;40,41;39;38,52;38,5;38,28;37,91;38,53;38,14;37,99;37,22;36,81;37,6;37,45;51,43;55,11
48004;Amoroto;12,35;12,35;12,35;12,35;12,28;11,71;10,95;13,79;13,79;13,48;13,48;13,53;14,37;14,37;14,37;15,13
1002;Amurrio;22,74;22,71;22,7;22,69;22,33;22,14;22,25;22,08;21,63;21,42;21,2;21,09;20,35;20,34;20,23;19,66
20009;Andoain;61,22;61,22;61,22;61,22;61,22;60,46;60,97;60,97;82,37;82,37;82,18;82,07;82,06;72,3;71,41;78,27
20010;Anoeta;74,27;65,04;65,04;65,04;65,04;65,04;65,04;50,24;57,32;57,32;57,32;57,43;57,43;57,43;57,43;57,43
20011;Antzuola;51,71;50;50;50;50;50;50,68;51,77;51,77;51,77;52,68;52,71;50,46;49,43;47,28;45,92
48005;Arakaldo;10;10;10;10;10;10,41;11;10,85;10,85;10,85;10,85;10,22;9,66;6,57;6,57;10,2
20012;Arama;23,71;23,71;23,71;31,92;31,92;31,92;31,92;36,09;36,09;36,09;36,09;36,56;36,56;35,24;29,07;29,07
1003;Aramaio;11,89;11,59;9,36;9,34;9,34;8,47;8,45;4,76;4,76;4,76;4,73;4,62;4,6;3,76;3,76;3,73
48006;Arantzazu;7,34;8,13;8,13;8,09;8,05;8,05;8,14;7,9;7,86;7,7;7,66;7,58;6,97;5,86;5,86;16,13
48093;Areatza;33,35;33,25;31,19;31,19;31,19;29,33;29,79;29,79;29,79;29,79;29,74;29,07;26,61;27,73;26,63;26,53
20013;Aretxabaleta;42,78;42,47;42,45;42,17;42,17;42,14;43,46;46,56;46,51;46,51;46,51;44,6;39,73;39,25;69,82;67,24
1006;Armiñón;6,94;6,94;6,94;6,94;6,94;6,94;6,9;7,13;7,08;7,08;7,13;7,14;6,59;5,85;5,06;5,06
1037;Arraia-Maeztu;8,53;8,21;8,15;8,14;8,14;8,14;8,1;8,26;8,23;8,16;8,12;7,87;7,82;7,52;7,45;7,37
48009;Arrankudiaga;8,91;8,9;8,9;8,86;8,78;8,75;8,76;10,37;10,69;10,44;11,97;11,98;11,92;11,92;10,8;16,43
20055;Arrasate/Mondragón;83,52;83,52;83,52;64,29;64,29;64,29;64,14;71,2;54,45;52,95;52,95;52,94;52,93;53,49;65,99;66,94
48914;Arratzu;4,19;3,04;1,98;1,98;1,96;1,94;1,98;2,4;2,4;2,04;2,04;2,04;2,04;1,78;1,78;1,78
1008;Arratzua-Ubarrundia;4,86;4,74;4,72;4,69;4,67;4,65;4,48;5,41;5,36;5,33;5,32;5,3;5,19;5,05;4,75;4,53
48010;Arrieta;11,04;8,06;8,06;8,03;5,52;5,52;5,77;5,68;5,62;5,59;5,59;5,39;5,35;5,35;5,35;5,22
48011;Arrigorriaga;75,17;75,17;74,94;74,94;74,9;74,77;64,73;71,68;71,68;71,68;71,68;71,72;71,21;71,33;71,28;79,28
48023;Artea;13,38;13,38;13,38;13,24;13,2;13,2;13,45;11,81;11,81;11,81;11,81;11,77;11,77;11,77;11,58;10,07
48008;Artzentales;14,63;14,63;14,63;14,63;14,63;14,63;11,54;11,13;11,13;11,13;11,1;11,03;11,06;11,06;11,06;10,7
1004;Artziniega;14,41;13,53;13,53;13,45;13,38;13,37;13,26;13,39;17,24;17,19;17,19;17,11;16,87;16,78;16,73;16,48
1009;Asparrena;13,21;13,2;13,03;10,21;10,19;10,16;10,18;9,39;9,38;9,26;9,23;8,96;8,61;8,2;7,97;14,13
20014;Asteasu;39,58;38,85;38,85;38,79;36,85;36,79;37,01;28,54;28,5;28,5;28,5;28,28;34,5;34,2;33,96;33,96
20903;Astigarraga;67,55;62,95;56,78;55,08;50,35;48,6;46,96;47,31;39,73;37,06;30,31;34,71;34,67;32,92;31,58;30,34
20015;Ataun;29,59;29,62;29,62;29,62;29,59;29,55;30,35;33,48;33,48;33,5;33,9;33,27;32,64;31,46;30,47;29,96
48091;Atxondo;14,97;15,44;15,44;15,42;15,42;15,42;15,59;14,75;14,75;14,75;14,75;13,7;13,35;13,35;13,35;48,75
48070;Aulesti;18,81;18,81;18,81;18,81;18,81;18,66;10,05;10,03;10,03;9,87;9,87;9,83;9,49;9,51;9,51;9,34
1010;Ayala/Aiara;8,8;8,76;5,71;5,69;5,64;5,63;5,57;5,25;5,25;5,19;5,19;5,03;4,84;4,82;4,77;7,58
20017;Azkoitia;60,06;60,06;60,06;59,23;59,02;59,02;59,51;58,01;59,46;59,34;58,6;56,82;69,11;68,12;66,62;65,24
20018;Azpeitia;81,92;79,64;79;78,56;78,52;78,5;74,36;80,18;61,94;61,9;61,31;61,21;58,85;58,11;58,11;58,12
1049;Añana;15,86;15,79;15,79;15,79;15,71;15,71;15,64;13,62;13,55;13,29;13,29;13,21;13,14;13,07;12,88;12,75
48012;Bakio;18,22;18,21;18,21;16,71;16,7;16,65;16,59;16,75;17,68;17,42;17,18;17,21;16,58;14,87;12,39;17,05
20904;Baliarrain;21,38;21,38;20,69;20,69;20,69;20,69;20,69;29,52;29,52;31;31;30,24;24,88;22,44;21,95;21,95
48090;Balmaseda;54,07;53,97;53,97;53,94;53,68;52,92;53,94;57,89;57,89;57,89;57,89;63,43;63,39;59,58;57,19;48,11
48013;Barakaldo;122,42;121,73;121,39;121,36;120,8;120,13;119,42;106,27;106,5;106,5;106,5;106,12;103,71;104,76;105,8;109,37
48014;Barrika;10,93;10,9;10,9;11,16;11,16;11,13;11,03;11,5;9,6;9,59;9,55;9,11;8,93;8,73;8,56;11,75
1013;Barrundia;3,73;3,73;3,73;3,72;3,7;3,7;3,89;3,91;3,84;3,83;3,75;3,7;3,59;3,54;3,42;3,34
48015;Basauri;128,86;125,09;125,09;124,46;123,61;123,41;120,4;114,57;114,57;114,57;115,38;115,57;115,29;114,88;115,69;115,58
