Código municipio;Municipio;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008
48001;Abadiño;3,44;3,04;3,19;3,59;3,46;3,33;2,94;2,43;2,72;2,87;3,43;3,73
20001;Abaltzisketa;6,12;6,12;6,17;9,2;6,12;6,08;6,06;6,12;6,19;6,17;6,23;6,31
48002;Abanto y Ciérvana-Abanto Zierbena;3,79;4,53;4,51;4,18;4,27;4,14;3,91;4,32;4,32;4,63;4,96;5,09
20002;Aduna;0;0;0;2,12;2,13;2,12;0;0;0;0;0;0
20016;Aia;0,97;0,97;0,48;0,48;0,98;0,98;0,98;1,97;2,98;2,99;2,52;2,62
20003;Aizarnazabal;1,29;2,58;2,58;2,58;2,58;2,58;1,29;1,3;1,33;1,39;2,9;3,03
48911;Ajangiz;0;0;0;0;0;0;0;0;0;0;0;0
20004;Albiztur;3,26;3,26;6,35;6,15;9,23;6,17;6,15;6,27;3,18;6,37;6,37;6,39
20005;Alegia;3,48;4,06;4,03;4,03;4,03;4,59;4,57;5,1;5,07;4,54;4,59;4,07
1001;Alegría-Dulantzi;1,73;2,08;3,1;3,12;3,14;3,1;2,42;2,09;2,47;2,54;2,25;1,97
20006;Alkiza;2,7;0;0;0;0;0;0;5,33;5,49;5,63;5,63;5,68
48912;Alonsotegi;4,82;4,82;4,48;5,21;5,6;5,61;4,94;4,23;3,53;3,54;3,53;3,53
20906;Altzaga;5,52;5,52;5,71;5,85;5,75;5,85;6,06;6,13;6,21;6,25;12,5;6,29
20007;Altzo;0;0;0;0;0;0;0;0;0;0;0;0
20008;Amezketa;5,38;5,38;5,33;5,34;5,32;5,24;5,15;5,13;5,14;5,09;6,05;5,07
48003;Amorebieta-Etxano;3,22;3,27;3,67;3,76;3,46;3,59;3,49;3,71;3,66;3,88;3,8;3,72
48004;Amoroto;2,41;2,41;2,37;2,35;2,39;2,42;2,44;2,48;2,44;2,42;2,43;2,46
1002;Amurrio;3,78;3,78;3,6;3,5;3,12;3,41;3,24;3,06;2,98;3,19;3,08;3,28
20009;Andoain;3,08;3,01;3,14;3,21;3,35;3,48;3,35;3,89;3,82;4,16;4,09;4,19
20010;Anoeta;2,42;2,91;3,91;3,94;4,04;4,15;5,31;5,4;6,01;4,89;3,78;4,37
20011;Antzuola;2,82;2,82;2,8;3,23;2,75;2,74;2,74;3,21;3,21;3,22;4,16;4,17
48005;Arakaldo;0;0;6,33;0;6,37;6,62;0;0;0;0;0;0
20012;Arama;4,93;9,85;9,62;9,57;9,62;9,35;9,22;9,59;9,95;9,52;4,78;5,15
1003;Aramaio;2,03;2,03;2,68;2,67;2,65;3,34;3,37;3,33;1,33;1,34;1,34;1,34
48006;Arantzazu;5,08;5,08;4,98;5,08;5,26;5,25;5,38;2,76;2,8;5,88;6,35;6,54
48093;Areatza;5,8;4,14;4,15;4,98;6,64;8,31;7,38;5,71;4,99;6,03;6,16;4,46
20013;Aretxabaleta;3,4;3,26;3,43;3,43;3,58;3,29;3,16;3,34;3,54;3,72;3,73;3,75
1006;Armiñón;0;0;0;0;4,18;4,05;4,1;0;0;0;0;0
1037;Arraia-Maeztu;0;0;0;0;0;1,4;0;0;0;2,8;2,82;2,82
48009;Arrankudiaga;2,06;2,06;1,04;1,03;1,02;2,05;2,06;2,08;2,11;2,16;2,19;2,23
20055;Arrasate/Mondragón;3,82;3,91;4,23;4,23;4,13;4,08;4,17;4,22;4,14;4,27;4,58;4,54
48914;Arratzu;4,78;4,78;4,88;4,93;4,9;4,98;5,09;5,16;5,14;5,21;5,31;2,72
